City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
240,beloyarskiy,63.7119,66.6722,9.44,88,100,4.02,RU,1696293672
241,sinop,41.7711,34.8709,11.56,86,70,2.86,TR,1696293392
242,ust'-uda,54.1742,103.0304,1.55,68,100,0.45,RU,1696293673
243,hadibu,12.65,54.0333,26.46,84,23,2.26,YE,1696293673
244,saudarkrokur,65.7461,-19.6394,2.96,95,100,3.27,IS,1696293674
245,ketchikan,55.3422,-131.6461,12.26,94,100,5.14,US,1696293674
246,sawakin,19.1059,37.3321,28.57,75,0,2.81,SD,1696293674
247,narrabri,-30.3167,149.7833,28.07,35,0,3.13,AU,1696293674
248,georgetown,5.4112,100.3354,27.79,90,20,1.54,MY,1696293675
249,manokwari,-0.8667,134.0833,26.89,80,96,1.46,ID,1696293675
250,barentu,15.1139,37.5928,24.11,47,2,0.85,ER,1696293675
251,suva,-18.1416,178.4415,25.71,65,75,6.69,FJ,1696293675
252,sonoita,31.85,-112.8333,25.88,28,0,4.37,MX,1696293676
253,dwarka,22.2394,68.9678,26.44,76,2,3.58,IN,1696293560
254,broken hill,-31.95,141.4333,26.18,37,100,9.55,AU,1696293676
255,calvinia,-31.4707,19.776,18.23,32,0,1.38,ZA,1696293676
256,el colomo,19.05,-104.25,32.99,88,99,2.54,MX,1696293676
257,mejit,10.2753,170.8646,28.6,77,12,6.36,MH,1696293677
258,greenville,35.6127,-77.3663,21.97,80,0,2.06,US,1696293408
259,villamontes,-21.25,-63.5,27.24,41,0,0.5,BO,1696293677
260,kasane,-17.8167,25.15,20.4,58,0,5.19,BW,1696293677
261,acarau,-2.8856,-40.12,26.01,85,9,6.48,BR,1696293647
262,kibre mengist,5.8833,38.9833,15.73,95,100,0.65,ET,1696293678
263,hirara,24.8,125.2833,29.92,94,75,7.2,JP,1696293678
264,howrah,22.5892,88.3103,27.0,94,40,1.54,IN,1696293678
265,nova vicosa,-17.8919,-39.3719,24.53,90,100,5.36,BR,1696293630
266,slave lake,55.2834,-114.769,12.99,67,40,3.6,CA,1696293679
267,tshabong,-26.05,22.45,20.75,42,0,8.6,BW,1696293679
268,saltillo,25.4167,-101.0,25.68,53,40,5.14,MX,1696293131
269,antigonish,45.6169,-61.9986,11.82,92,3,0.89,CA,1696293679
270,erenhot,43.6475,111.9767,11.96,39,78,4.92,CN,1696293680
271,st. john's,47.5649,-52.7093,9.66,92,0,2.57,CA,1696293680
272,mont-tremblant,46.1949,-74.6264,16.32,77,27,0.0,CA,1696293412
273,port saint john's,-31.6229,29.5448,18.32,66,0,5.13,ZA,1696293680
274,alvaraes,-3.2208,-64.8042,28.0,41,100,0.34,BR,1696293680
275,muhlhausen,51.2167,10.45,17.91,71,63,1.89,DE,1696293681
276,saucillo,28.0167,-105.2833,22.48,55,98,11.17,MX,1696293681
277,emerald,-23.5333,148.1667,25.75,42,0,7.09,AU,1696293681
278,baijiantan,45.6333,85.1833,16.18,42,100,3.52,CN,1696293681
279,victorica,-36.2151,-65.4359,15.03,64,100,4.33,AR,1696293398
280,mermoz boabab,14.7065,-17.4758,27.88,94,0,0.0,SN,1696293682
281,lemvig,56.5486,8.3102,13.41,92,100,2.34,DK,1696293682
282,floro,61.5996,5.0328,12.98,82,100,9.77,NO,1696293682
283,chazuta,-6.5742,-76.1367,32.47,69,97,0.66,PE,1696293683
284,flying fish cove,-10.4217,105.6791,24.82,73,75,5.14,CX,1696293683
285,mahina,-17.5065,-149.489,26.87,74,100,5.14,PF,1696293683
286,lidzbark,53.2628,19.8266,15.44,74,100,3.24,PL,1696293439
287,el jadid,33.2549,-8.506,21.38,93,100,1.63,MA,1696293683
288,chui,-33.6971,-53.4616,11.16,93,91,2.8,UY,1696293684
289,punta del este,-34.9667,-54.95,12.71,92,0,4.02,UY,1696293684
